                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7136,                 2.3297,                 2.0257,                0.94116,                0.94101,                0.97872,                0.79279,                 1.3748,                0.73857,                  1.804,              0.0033217,              0.0033217,              0.0033217
                      2,                  1.736,                 1.1353,                 2.0038,                0.94869,                0.94797,                0.97942,                0.79215,                 1.4076,                  0.733,                 1.8909,              0.0065885,              0.0065885,              0.0065885
                      3,                 1.8874,                 1.2027,                 2.0651,                0.91257,                0.90052,                0.95885,                0.70268,                 1.7669,                 1.1317,                 2.0787,              0.0097886,              0.0097886,              0.0097886
                      4,                  1.983,                 1.2737,                 2.1376,                0.93069,                0.92823,                0.97488,                 0.7374,                 1.7152,                0.92824,                 2.0617,                 0.0097,                 0.0097,                 0.0097
                      5,                 1.9044,                 1.1679,                 2.1062,                0.95672,                 0.9355,                0.98223,                0.78824,                 1.4896,                0.75402,                 1.9743,                 0.0096,                 0.0096,                 0.0096
                      6,                 1.8101,                 1.0699,                 2.0764,                0.95732,                0.95794,                0.98578,                0.81638,                 1.3485,                0.67343,                 1.9051,                 0.0095,                 0.0095,                 0.0095
                      7,                 1.7401,                 1.0165,                 2.0471,                0.95185,                0.95812,                0.98522,                0.79598,                 1.4286,                0.70329,                  1.936,              0.0094001,              0.0094001,              0.0094001
                      8,                 1.6927,                0.97849,                 2.0351,                0.96111,                0.95607,                 0.9845,                0.81478,                 1.3473,                0.64785,                 1.9237,              0.0093001,              0.0093001,              0.0093001
                      9,                 1.6728,                0.95205,                  2.021,                0.97012,                0.97047,                0.98888,                0.82696,                 1.3271,                0.58496,                 1.9103,              0.0092001,              0.0092001,              0.0092001
                     10,                 1.6173,                0.89497,                 2.0052,                0.97331,                0.96419,                0.98983,                0.83653,                 1.2749,                  0.572,                  1.896,              0.0091001,              0.0091001,              0.0091001
                     11,                 1.6045,                0.88386,                 1.9989,                0.97256,                0.97382,                0.99022,                 0.8419,                 1.2749,                0.56589,                 1.8854,              0.0090001,              0.0090001,              0.0090001
                     12,                 1.5678,                0.86381,                 1.9825,                0.97515,                0.97952,                0.99118,                0.85382,                 1.2329,                0.53034,                  1.877,              0.0089001,              0.0089001,              0.0089001
                     13,                 1.5521,                0.84822,                 1.9843,                0.97733,                0.97448,                0.99059,                0.85053,                 1.2171,                0.53175,                 1.8679,              0.0088001,              0.0088001,              0.0088001
                     14,                 1.5176,                  0.824,                 1.9693,                0.98169,                0.96962,                0.99081,                0.85798,                 1.2145,                0.52383,                 1.8616,              0.0087001,              0.0087001,              0.0087001
                     15,                 1.5165,                0.82987,                 1.9745,                0.97429,                0.97178,                0.99099,                0.86058,                  1.202,                 0.5229,                 1.8595,              0.0086001,              0.0086001,              0.0086001
                     16,                 1.4989,                0.80389,                 1.9671,                0.97564,                0.97012,                0.99061,                0.85385,                 1.2513,                0.53691,                  1.872,              0.0085001,              0.0085001,              0.0085001
                     17,                 1.4598,                0.77699,                 1.9449,                0.97459,                0.97806,                0.99085,                0.87292,                 1.1695,                0.50456,                 1.8328,              0.0084002,              0.0084002,              0.0084002
                     18,                 1.4669,                0.78273,                 1.9535,                0.97433,                0.97208,                0.99041,                0.86624,                 1.1591,                0.50787,                 1.8331,              0.0083002,              0.0083002,              0.0083002
                     19,                 1.4558,                0.76994,                 1.9442,                0.98175,                0.96828,                 0.9906,                 0.8641,                 1.1535,                0.50823,                 1.8286,              0.0082002,              0.0082002,              0.0082002
                     20,                 1.4355,                0.75456,                  1.935,                0.98429,                0.97753,                0.99161,                0.87123,                 1.1358,                0.48442,                 1.8254,              0.0081002,              0.0081002,              0.0081002
